Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g,,,rstar (smoothed),g (smoothed),z (smoothed),output gap (smoothed)
1984-01-01,3.37569877948244,3.69772249565226,-0.684786411957871,-4.19149933761685,1.41850502070365,,,,,,,,,,,,,,,,,,,1984-01-01,1.89187311585988,1.11172034478865,0.420521797706186,,,3.26254187386882,3.4338334903553,-0.508165650520469,-3.66925249098097
1984-04-01,3.54039874752422,3.75133418464623,-0.57895767330231,-3.40565520449354,1.17153132187082,,,,,,,,,,,,,,,,,,,1984-04-01,1.9036644929682,1.10933668142551,0.418355907920208,,,3.23717442821129,3.41307786713361,-0.510741255841165,-3.04339260181666
1984-07-01,3.42330534942261,3.69948413403175,-0.639114304801488,-3.29535684256484,3.28351174352308,,,,,,,,,,,,,,,,,,,1984-07-01,1.90477399003045,1.10735585956056,0.416253934656176,,,3.21463820026464,3.39474280933938,-0.513143676898515,-2.82421087048408
1984-10-01,3.29961370950782,3.68143326154086,-0.742984202947376,-3.53978627929894,2.23877220291315,,,,,,,,,,,,,,,,,,,1984-10-01,1.90820939064872,1.10551766190486,0.41425817426948,,,3.19241610871859,3.37717659283931,-0.516076229531899,-2.78545123951983
1985-01-01,3.67445584371192,3.6581185466702,-0.342540078711235,-2.5910647767347,-0.239218525828379,,,,,,,,,,,,,,,,,,,1985-01-01,1.91339454594144,1.10341308418562,0.412391206207185,,,3.16630234863592,3.35669307820131,-0.519696952899658,-2.77363794643873
1985-04-01,3.5275016597681,3.65596262775546,-0.487126838696785,-2.91215319746232,0.22846138338953,,,,,,,,,,,,,,,,,,,1985-04-01,1.91176195625475,1.10124231130799,0.410692040939601,,,3.13877671443861,3.33599982160968,-0.524499231828487,-2.67811680776697
1985-07-01,3.70485504659852,3.73326959284188,-0.394664567221206,-2.43840308338213,0.356952064863651,,,,,,,,,,,,,,,,,,,1985-07-01,1.91536643513155,1.09846586660988,0.409164827065958,,,3.10343412690663,3.30863293814913,-0.529790125335805,-2.30745146392871
1985-10-01,3.43858827132101,3.66642928361907,-0.587533707573532,-2.74763972054393,1.41584465612711,,,,,,,,,,,,,,,,,,,1985-10-01,1.9064210908255,1.09629188556909,0.407853825682694,,,3.07285205652939,3.28525344123749,-0.534699068239401,-2.21350303739769
1986-01-01,3.50439489563101,3.64354942403979,-0.496602609722553,-2.45933554261728,0.748403348980147,,,,,,,,,,,,,,,,,,,1986-01-01,1.90297817861081,1.09429748926609,0.406740924863392,,,3.04211411554606,3.26129286482184,-0.539125795812713,-2.16322573253967
1986-04-01,3.25050398551942,3.55997526432255,-0.658720370735502,-2.90648122504183,0.565250057789642,,,,,,,,,,,,,,,,,,,1986-04-01,1.89444221331737,1.09296413069222,0.405799445214144,,,3.01709875384812,3.24227700586729,-0.543259759899487,-2.29478662967199
1986-07-01,3.25652028700347,3.57079465626481,-0.664584890706698,-2.89975336494331,0.356711206807167,,,,,,,,,,,,,,,,,,,1986-07-01,1.89178926387704,1.09167592918633,0.405026749489163,,,2.99066391582162,3.22166995533781,-0.54706590591013,-2.25289587005864
1986-10-01,3.21151969209164,3.46746623852684,-0.596120099675338,-2.69999728351684,0.311049400350485,,,,,,,,,,,,,,,,,,,1986-10-01,1.883905205301,1.09101165206626,0.404400005923175,,,2.96987848902631,3.20568282671969,-0.550295797079426,-2.3213778228419
1987-01-01,3.02907195569355,3.4464790375684,-0.755521699214402,-3.05780224483215,0.545358803092683,,,,,,,,,,,,,,,,,,,1987-01-01,1.87939699373776,1.09050368729541,0.4038748363547,,,2.95024045012878,3.19119134418307,-0.554020675832801,-2.27568963543945
1987-04-01,3.15769174162968,3.45288055735919,-0.633931450065784,-2.62975686866309,0.506211287681067,,,,,,,,,,,,,,,,,,,1987-04-01,1.87700585283859,1.08974956715152,0.403413300214147,,,2.92737233482378,3.17445938563423,-0.55851535451803,-2.06955798007789
1987-07-01,3.14035287714548,3.41866087769603,-0.613693535142803,-2.44976478666217,0.401422492103118,,,,,,,,,,,,,,,,,,,1987-07-01,1.87441471872754,1.08883727514692,0.402951363259654,,,2.90347464594549,3.1583569788215,-0.564730920282299,-1.8672095946539
1987-10-01,3.36935850277145,3.55173819625447,-0.530820693131205,-1.97779942004456,0.0696468159576069,,,,,,,,,,,,,,,,,,,1987-10-01,1.88120360209466,1.08701778959096,0.402529699659742,,,2.86815564300139,3.13260931323675,-0.571776299409586,-1.39650019604994
1988-01-01,3.22113059829401,3.42377252098486,-0.53852893177222,-1.84574540540291,-0.18508848064278,,,,,,,,,,,,,,,,,,,1988-01-01,1.87392042023667,1.08576289234819,0.402143899691955,,,2.83941893926891,3.11308718619695,-0.579075670339576,-1.33299294748099
1988-04-01,3.45529056422597,3.47511722362553,-0.360750807629761,-1.25200368133312,-0.381969646899581,,,,,,,,,,,,,,,,,,,1988-04-01,1.87544892133332,1.08406058746851,0.40185324836391,,,2.80395470734181,3.08793663128222,-0.586921968279525,-1.06029447748176
1988-07-01,3.42640354876015,3.36867614755642,-0.272754413470394,-0.929546151266095,0.30046802245328,,,,,,,,,,,,,,,,,,,1988-07-01,1.86760253374468,1.08263808128266,0.401593078474266,,,2.77208663659348,3.06685392487622,-0.595639027220523,-0.990553841146152
1988-10-01,3.533427251357,3.45340690844217,-0.258773928757136,-0.764601183728018,0.964226608774192,,,,,,,,,,,,,,,,,,,1988-10-01,1.87070139549621,1.08051787092159,0.401440108443865,,,2.73100376140888,3.03899290400923,-0.606127593940436,-0.675159790029056
1989-01-01,3.56904392078708,3.46216985012272,-0.23277988378554,-0.600655706487601,2.13551171433746,,,,,,,,,,,,,,,,,,,1989-01-01,1.87409846057132,1.07814688533308,0.401428586577184,,,2.68600944101758,3.00856756386422,-0.617711715689564,-0.490091190181261
1989-04-01,3.45407756090087,3.4658840303861,-0.351824801209671,-0.956240495245879,2.97696686072448,,,,,,,,,,,,,,,,,,,1989-04-01,1.87811101946965,1.07564835524347,0.401613937325883,,,2.63833398216385,2.97681229884613,-0.63051657960064,-0.47846329461504
